user_k,handle_n,alias_n,bio_x,followers_t,statuses_t,favorites_t,friends_t,listed_t,verified_f,politician_f,media_f,location_x,language_n,timezone_n,created_y,created_s,user_c,russian_troll_f
39,laurabaeley,laura baeley,liberty's torch bearer and best friend. opinions are my own. getting more conservative by the day because of bearing a torch for liberty!!,1073,1946,1933,1160,14,FALSE,,,united states,english,eastern time (us & canada),8/9/2013,8/9/2013 17:24,1658202894,TRUE
40,baobaeham,bao ham,"when i let go of what i am, i become what i might be.",1032,2004,2420,836,12,FALSE,,,usa,english,eastern time (us & canada),8/9/2013,8/9/2013 19:23,1658420976,TRUE
41,travisrespek,travi$ lane,"'as long as we try, maybe things will change' -pac #blacklivesmatter #prayfortheworld",826,1875,2384,931,12,FALSE,,,usa,english,eastern time (us & canada),8/9/2013,8/9/2013 19:14,1658440730,TRUE
42,usa_gunslinger,,,,,,,,,,,,,,,,4332740714,TRUE
43,blacktolive,,,,,,,,,,,,,,,,4840551713,TRUE
44,crystal1johnson,,,,,,,,,,,,,,,,4437233895,TRUE
45,ten_gop,,,,,,,,,,,,,,,,4224729994,TRUE
46,malloryjared,jared mallory,i`m studing to earn much money in the future and i`m working to earn money for studing...,824,1811,2145,874,17,FALSE,,,ny,english,eastern time (us & canada),8/10/2013,8/10/2013 8:10,1659549972,TRUE
47,ilovesarahrich,sarah richards,just trying to love the life i'm living & the people in itbtw #inwoke #blm #blacktolive,865,1747,2021,974,6,FALSE,,,usa,english,eastern time (us & canada),8/10/2013,8/10/2013 15:28,1660375034,TRUE
48,garrettsimpson_,garret simpson,"conservative, but i like chatting with people of both sides of the political aisle #tcot",1588,2010,1577,1339,25,FALSE,,,usa,english,eastern time (us & canada),8/10/2013,8/10/2013 19:27,1660771422,TRUE
49,kateritterrrr,kate ritter,i am a true conservative and i love my country with all my heart! happily married....,1578,5347,6797,1320,54,FALSE,,,usa,english,eastern time (us & canada),8/11/2013,8/11/2013 0:17,1661246144,TRUE
50,errivvvvers,ernest rivers,you do what you want when you poppin' #thugger ?? #blacklivesmatter #dabbnation still wondering what metro boomin want some more of…,827,1854,2263,864,10,FALSE,,,usa,english,eastern time (us & canada),8/11/2013,8/11/2013 12:32,1662453998,TRUE
51,claudia42kern,claudia,"lots of hobbies, prefer to lay in bed and do nothing ??",2102,2574,1609,1723,20,FALSE,,,usa,english,eastern time (us & canada),8/12/2013,8/12/2013 12:28,1664988493,TRUE
52,eliasbrick,elias briggs,"tenured professor, director of black church studies, minister, activist, womanist theologian, displaced new yorker, lover of words",820,2047,2060,903,6,FALSE,,,"new york, usa",english,eastern time (us & canada),8/12/2013,8/12/2013 15:33,1665377383,TRUE
53,pamblmdaniels,pam daniels,"smart, strong, sensual woman#blacklivesmatter activist",943,2478,2530,549,24,FALSE,,,usa,english,eastern time (us & canada),8/12/2013,8/12/2013 20:50,1666030405,TRUE
54,curtisbigman,curtis burrell,big man!,3143,5510,3721,2896,32,FALSE,,,baltimore,english,eastern time (us & canada),8/13/2013,8/13/2013 17:05,1668307436,TRUE
55,deusxyx,rick shafer,freedom & liberty warrior constitutional conservative. usaf veteran 316/46150 under ronald reagan. levin #1 #israel #pjnet,2694,1703,1021,3191,36,FALSE,,,usa,english,eastern time (us & canada),8/14/2013,8/14/2013 5:02,1669574551,TRUE
56,javonhidp,javon grayson,the best time to plant a tree was 20 years ago. the second best time is now.,841,3479,4438,456,18,FALSE,,,usa,english,eastern time (us & canada),8/14/2013,8/14/2013 10:44,1670149272,TRUE
57,siccerthanyou,alexander massey,"siccer than your average, boi #blm #blacklivesmatter #staywoke #blacktolive",941,2039,2313,854,13,FALSE,,,usa,english,eastern time (us & canada),8/14/2013,8/14/2013 11:53,1670318690,TRUE
58,hyddrox,susan,~reagan conservative ~jesus lover ~pro-israel ~pro-2a ~pro-life ~pro-constitution ~support police & military #renewus #pjnet #tcot #cruzcrew #wakeupamerica,2225,10242,8748,2159,72,FALSE,,,usa,english,eastern time (us & canada),8/14/2013,8/14/2013 19:07,1671234620,TRUE
59,samirgooden,samir gooden,"young (in spirit), gifted and black. proud progressive woman. a man who stands for nothing will fall for anything- malcolm x (my addition) #malcolmx #blm",873,1739,2237,794,11,FALSE,,,usa,english,eastern time (us & canada),8/15/2013,8/15/2013 8:09,1672624255,TRUE
60,gab1aldana,gabriella aldana,? love my life ?,3356,3861,3861,3020,31,FALSE,,,usa,english,eastern time (us & canada),8/15/2013,8/15/2013 21:02,1674083671,TRUE
61,chadsloyer,chad sloyer,i was a good kid. never said i was a good adult. - terrance howard,797,2446,3081,872,11,FALSE,,,usa,english,eastern time (us & canada),8/16/2013,8/16/2013 18:51,1676377446,TRUE
62,emileewaren,emilee waren,•christian•constitutional•capitalist •nra•supporting military•police •wife•mom,1909,2170,1778,1501,23,FALSE,,,usa,english,eastern time (us & canada),8/16/2013,8/16/2013 19:50,1676481360,TRUE
63,gwennythot,gwendolyn lovet,i have too many flaws to be perfect but i have too many blessings to be ungrateful ??,1055,2597,3124,875,16,FALSE,,,"baton rouge, la",english,eastern time (us & canada),8/17/2013,8/17/2013 1:20,1677048979,TRUE
64,ameliebaldwin,amelie baldwin,"wife, mother, patriot, friend",2464,15227,14540,1930,160,FALSE,,,usa,english,eastern time (us & canada),8/17/2013,8/17/2013 22:53,1679279490,TRUE
65,rosieonfleek,rosie wise,"'so, about that' on yt. your woke big sister.#woke #blackandproud #blm",683,1229,1353,637,23,FALSE,,,usa,english,eastern time (us & canada),8/18/2013,8/18/2013 11:56,1680578719,TRUE
66,camosaseko,jerry,enjoy your life and don't interfere in mine,2608,9703,10088,2279,27,FALSE,,,"chicago, il",english,eastern time (us & canada),8/18/2013,8/18/2013 17:12,1681162956,TRUE
67,peytoncashout,peyton cash,"#blackpride. opinions, insights and witticisms are all free! #niggathatcares",770,1576,1964,746,12,FALSE,,,usa,english,eastern time (us & canada),8/19/2013,8/19/2013 5:55,1682444790,TRUE
68,datwisenigga,will wise,"squad goin' up, nobody flippin' packs now#ilovemakonnen4life",904,1844,2393,812,16,FALSE,,,usa,english,eastern time (us & canada),8/20/2013,8/20/2013 0:53,1684524144,TRUE
69,blmsoldier,chase bacon,"#blacklivesmatter future guest on pardon the interruption, around the horn & highly questionable...",696,1889,2129,707,25,FALSE,,,usa,english,eastern time (us & canada),8/20/2013,8/20/2013 7:33,1685173321,TRUE
